;companhia;opex;remuneracaoEmAcoes;despesasAdministrativas;exercicioOpcoes;compraTitulos;jurosAPagar;valorGastoExercicioOpcoes;amortizacao;rendaOperacoesContinuadas;lucroBruto;receitas;ativos;passivos;depreciacao;ganhosPorAcao;ebtida;temDivida
2903;1110783.0;4659000000.0;0.017;;137000000.0;;;;;2286000000.0;8182000000.0;;21920000000.0;;;4.85;;0.0
2904;1110795.0;;;;;;;;;;;;8328881000.0;85543000.0;;;;0.0
2905;1110803.0;936449000.0;0.0;;;617450000.0;;;86442000.0;;1549290000.0;;3687747000.0;;72687000.0;3.19;;0.0
2906;1110805.0;;;102521000.0;;;34286000.0;;;;;;5149262000.0;;192300000.0;;;1.0
2907;1111335.0;;;;;;;;;22000000.0;430000000.0;;4682000000.0;;66000000.0;54.0;;0.0
2908;1111711.0;2208200000.0;;;;128700000.0;129000000.0;;;198600000.0;3008100000.0;4651800000.0;17492500000.0;;;0.9;;1.0
2909;1111741.0;7536069.0;;3988331.0;;;;;;;;944910.0;7787282.0;7779498.0;128513.0;;;0.0
2910;1111928.0;149834000.0;0.003;57192000.0;;;;;1617000.0;;491877000.0;;1453429000.0;192764000.0;37796000.0;4.6;;0.0
2911;1112372.0;294644.0;;;;;;;;;252007.0;544816.0;458836.0;250170.0;57028.0;;;1.0
2912;1112920.0;18755000.0;0.024;6168000.0;508000.0;;;508000.0;;;25172000.0;30841000.0;44213000.0;;;0.22;;0.0
2913;1112985.0;;;459204.0;;;4704.0;;;;;;945333.0;20265.0;;;;0.0
2914;1113148.0;236174000.0;;37065000.0;1866000.0;57061000.0;;1796000.0;;;;;288821000.0;190264000.0;2292000.0;;;0.0
2915;1113169.0;2301700000.0;;;;;;;;;;;5106900000.0;344900000.0;;4.74;;0.0
2916;1113232.0;80988000.0;;25059000.0;3921000.0;;;3921000.0;;;101706000.0;;288280000.0;98020000.0;2400000.0;0.13;;0.0
2917;1113256.0;;;;;;14000000.0;;;65000000.0;462000000.0;;2195000000.0;2841000000.0;60000000.0;0.66;;0.0
2918;1113313.0;36442.0;;11890.0;;;;;;;;;53.0;2249130.0;;;;0.0
2919;1113481.0;;0.0;;;;4898000.0;;258600000.0;-221930000.0;;;1806951000.0;1058088000.0;4700000.0;-5.28;;0.0
2920;1113513.0;3840965.0;;1231137.0;;;350613.0;;;;1362207.0;1820806.0;1508954.0;40864516.0;;;;1.0
2921;1113809.0;;;;;;;;;;;377694000.0;213334000.0;;15800000.0;1.61;;0.0
2922;1114208.0;;0.0;2215873.0;;;;;;;416321.0;5826746.0;712174.0;4267533.0;67449.0;-0.02;;1.0
2923;1114220.0;124748000.0;0.0;;1463000.0;;;1463000.0;;;;13680000.0;258685000.0;171751000.0;596000.0;;;0.0
2924;1114483.0;221989000.0;0.0;;6583000.0;;9378000.0;;676811000.0;;235135000.0;;2982136000.0;2131511000.0;27136000.0;-0.29;;1.0
2925;1114925.0;21306000.0;;;;;;;;;19378000.0;;27779000.0;8061000.0;759000.0;;;0.0
2926;1114927.0;;;;84000.0;;;84000.0;;;;;1044625000.0;958776000.0;;0.64;;0.0
2927;1115055.0;;;;3602805.0;935064745.0;;;;;;;8715414180.0;7559802880.0;;2.58;;0.0
2928;1115128.0;;;34833000.0;;;;4081000.0;978000.0;;;237309000.0;321071000.0;55581000.0;13100000.0;;;0.0
2929;1115222.0;;;;;;;;41300000.0;204200000.0;;1637100000.0;2273600000.0;3378900000.0;;4.68;;0.0
2930;1115836.0;;;39272000.0;35000.0;;;35000.0;;;;551385000.0;1509475000.0;851050000.0;;0.158;;0.0
2931;1116132.0;;;;;;;;43200000.0;;2908600000.0;;4666900000.0;2177000000.0;;1.46;;1.0
2932;1116463.0;72235000.0;0.0;25493000.0;404000.0;;;404000.0;1372000.0;;80293000.0;119719000.0;189321000.0;;2992000.0;0.14;;0.0
2933;1116521.0;2059000000.0;;;;;;;;-144000000.0;2430000000.0;;6862000000.0;;;;;0.0
2934;1116942.0;248795000.0;;167669000.0;495000.0;;14473000.0;495000.0;42976000.0;;310137000.0;;2671304000.0;;133508000.0;-0.28;;1.0
2935;1117057.0;22065086.0;;11824196.0;;;;;;;36118007.0;215315437.0;309537530.0;107569431.0;4085891.0;0.11;;0.0
2936;1117106.0;611386000.0;;87101000.0;;;;14189000.0;3531000.0;;495721000.0;741149000.0;1140976000.0;834775000.0;;;;0.0
2937;1117171.0;4598865.0;;3329763.0;;;;;;;949861.0;;63367232.0;41698345.0;;;;0.0
2938;1117297.0;;;17166000.0;26000.0;;;;;;26743000.0;;193102000.0;68350000.0;3800000.0;-0.43;;0.0
2939;1117480.0;129013000.0;;31823000.0;2107000.0;323769000.0;;2107000.0;;;;10762000.0;355992000.0;20533000.0;657000.0;;;0.0
2940;1117733.0;47634000.0;0.0;12560000.0;399000.0;;;;;-6263000.0;41439000.0;104508000.0;91383000.0;21060000.0;;0.13;;0.0
2941;1118037.0;29479000.0;0.0;4971000.0;;;;;;;;;10912000.0;4963000.0;495000.0;0.03;;0.0
2942;1118072.0;15400.0;;15400.0;;;36394.0;;;;;;302.0;201315.0;;-0.04;;0.0
2943;1118233.0;16540.0;;16540.0;;;15955.0;;;;;;481.0;243419.0;;0.0;;0.0
2944;1118237.0;;;;;496859000.0;;;;;;;1342313000.0;1194972000.0;;0.53;;0.0
2945;1118384.0;247217.0;;;;;;;;;;;6488253.0;422084.0;;;;0.0
2946;1118417.0;71338000.0;;23132000.0;;;;1312000.0;;;52199000.0;93768000.0;121970000.0;38908000.0;3800000.0;;;0.0
2947;1119643.0;;;;;;;;;;225497.0;;387643.0;3962039.0;11222.0;;;1.0
2948;1119897.0;;;15420.0;;;22125.0;;;;;;254.0;235774.0;;0.0;;0.0
2949;1120193.0;1370000000.0;;65000000.0;18000000.0;12000000.0;;18000000.0;384000000.0;;2090000000.0;3403000000.0;11861000000.0;6252000000.0;;2.56;;0.0
2950;1120295.0;;0.0;68925000.0;;14504000.0;;;711000.0;;;;779877000.0;260866000.0;16833000.0;0.07;;0.0
2951;1120370.0;19775000.0;;;;;;;2796000.0;-12246000.0;7867000.0;;109907000.0;;8736000.0;-1.48;;0.0
2952;1120914.0;39713000.0;;;5039000.0;;;5039000.0;1392000.0;;58954000.0;97977000.0;191769000.0;17462000.0;;0.39;;0.0
2953;1120970.0;;;6752731.0;;;;;;;;18492850.0;43212891.0;24453421.0;6400000.0;-0.14;;0.0
2954;1121484.0;1044971000.0;;;5900000.0;;;5980000.0;;28371000.0;;1099977000.0;1599138000.0;343466000.0;123500000.0;0.56;;1.0
2955;1121702.0;;;;0.0;;;;;-23681000.0;;2594000.0;17088000.0;4060000.0;;-0.95;;0.0
2956;1121745.0;;;106800.0;;;;;;;-81300.0;;768100.0;;;;;0.0
