companhia;opex;remuneracaoEmAcoes;despesasAdministrativas;exercicioOpcoes;compraTitulos;jurosAPagar;valorGastoExercicioOpcoes;amortizacao;rendaOperacoesContinuadas;lucroBruto;receitas;ativos;passivos;depreciacao;ganhosPorAcao;ebtida;temDivida
1280452.0;139099000.0;;;7744000.0;182107000.0;;7744000.0;;;180169000.0;333067000.0;431285000.0;62769000.0;12000000.0;0.89;;0.0
1280600.0;;0.0;20572000.0;;108198000.0;;3963000.0;;;;18097000.0;146337000.0;37074000.0;;;;0.0
1280776.0;52120000.0;;12347000.0;507000.0;;;;;;;;89081000.0;;;;;0.0
1281761.0;;;;;22710000000.0;;;;1075000000.0;;;126050000000.0;109206000000.0;;0.75;;1.0
1281774.0;;;30683000.0;283000.0;;129000.0;283000.0;46000.0;;;;305360000.0;401605000.0;47664000.0;0.86;;0.0
1281895.0;;;7842000.0;43000.0;31238000.0;;43000.0;;;;;113321000.0;4508000.0;45000.0;;;0.0
1281922.0;1226312000.0;;62305000.0;;;1700000.0;;;;;358129000.0;753148000.0;1017730000.0;;-10.89;;1.0
1282224.0;;;2478794.0;;;21671.0;;;;;2999279.0;2928777.0;15805522.0;;;;1.0
1282266.0;;;;;;78400000.0;;837600000.0;27400000.0;;4919600000.0;12518100000.0;12211700000.0;1146300000.0;;;1.0
1282400.0;;;66746.0;;;;;;;;720493.0;2315626.0;;;;;0.0
1282631.0;19478000.0;;;8000.0;;;8000.0;;;2097000.0;;24666000.0;26000000.0;;;;0.0
1282637.0;;;;;;;;;;679056000.0;;1289915000.0;902351000.0;35000000.0;;;1.0
1282648.0;;;87766000.0;;;88499000.0;;;;;550278000.0;3458692000.0;;;-18.66;;1.0
1282723.0;;;70637.0;;;;;;;;813346.0;2123648.0;;;;;0.0
1282977.0;218265000.0;;;;;;;;;;261560000.0;423838000.0;139788000.0;;0.82;;0.0
1283140.0;178716000.0;;12556000.0;;;6752000.0;;;;;;1534456000.0;;55400000.0;;;1.0
1283582.0;;;;;103756614.0;;;;;;;654874257.0;574600382.0;581985.0;;;0.0
1283630.0;596477000.0;;20838000.0;;;;;;115991000.0;;753381000.0;6025947000.0;3184779000.0;;1.03;;1.0
1283699.0;;;;47000000.0;;371000000.0;47000000.0;21000000.0;;;32053000000.0;62436000000.0;;4400000000.0;0.83;;0.0
1283810.0;;;123400.0;;;;;;;-141100.0;;1368400.0;;;;;0.0
1284196.0;19605.0;;19605.0;;;;;;;;;2000.0;3115.0;;;;0.0
1284450.0;2529423.0;;958895.0;;;;;;-2370465.0;78376.0;323369.0;137179.0;1949423.0;8926.0;-0.07;;0.0
1284766.0;;;;;;;;;;;;1534371.0;135354.0;;;;0.0
1284807.0;297180000.0;0.0;;2198000.0;;17808000.0;2198000.0;;;419712000.0;;1285904000.0;;33100000.0;0.47;;1.0
1284812.0;201106000.0;;50853000.0;;17191000.0;;;;;;328655000.0;305322000.0;62212000.0;;1.42;;0.0
1285224.0;;;;810000.0;535524000.0;;810000.0;;;;;4713468000.0;4180538000.0;;0.78;;0.0
1285543.0;1374652.0;;;;;;;;;263118.0;271559.0;89187.0;13813674.0;3692.0;;;0.0
1285550.0;;0.0;;;;;;;;;4594192.0;10102802.0;12083941.0;;;;1.0
1285785.0;;;;;;;5300000.0;;;1717900000.0;;17412400000.0;;732200000.0;2.79;;1.0
1285819.0;84747000.0;0.0;35327000.0;2859000.0;;;1423000.0;;;;13509000.0;48995000.0;;;;;0.0
1286043.0;275208000.0;;18709000.0;;;;;40586000.0;15443000.0;;;3766038000.0;1946974000.0;;0.19;;1.0
1286131.0;;;36371000.0;;;1503000.0;;;;41729000.0;305640000.0;1686125000.0;1502447000.0;10600000.0;;;1.0
1286225.0;281522000.0;;68814000.0;;;;12113000.0;;;269907000.0;;623201000.0;296749000.0;;-0.12;;0.0
1286613.0;;;;;;;;;-2708000.0;;193220000.0;210279000.0;129282000.0;11900000.0;-0.14;;1.0
1286681.0;;0.011000000000000001;277692000.0;4814000.0;;20459000.0;;;;683131000.0;2216528000.0;799845000.0;2600096000.0;;3.58;;0.0
1286964.0;3001095.0;;;;;;;;;10412377.0;115660469.0;66696384.0;;4556000.0;0.09;;1.0
1287151.0;;;56250000.0;;;;;;;;;550374000.0;;;-0.28;;1.0
1287213.0;;;;111000.0;;;111000.0;;;132863000.0;;505503000.0;;4919000.0;1.95;;0.0
1287808.0;;0.0;;468000.0;;;468000.0;;;268585000.0;720605000.0;442563000.0;324524000.0;;0.14;;1.0
1287865.0;;;43639000.0;;;;;;;;441878000.0;5609351000.0;3502086000.0;;0.64;;1.0
1287900.0;17737328.0;0.0;2208359.0;;;;;;;;547000.0;2783807.0;2739185.0;3327337.0;;;0.0
1288195.0;74147.0;;74147.0;;;;;;;;;0.0;220918.0;;-0.002;;0.0
1288359.0;;;;;;;;158000.0;;;71102000.0;118581000.0;134741000.0;7678000.0;2.31;;0.0
1288403.0;;;73110000.0;;;;;;;;507265000.0;1208022000.0;;;;;1.0
1288469.0;199072000.0;;;;79686000.0;;;;;155423000.0;;334505000.0;;8700000.0;-0.79;;0.0
1288750.0;3991321.0;;596342.0;;;;;;;;;17224434.0;;7918.0;;;0.0
1288776.0;;;6136000000.0;393000000.0;;;;718000000.0;16348000000.0;;74989000000.0;147461000000.0;;;;;1.0
1288847.0;90523000.0;;25822000.0;;;;;;;69373000.0;;99233000.0;72953000.0;6900000.0;;;1.0
1288855.0;;;;;25749000.0;;;;;;;127478000.0;124511000.0;;-0.17;;0.0
1289237.0;;;;;;;;;;;;218237000.0;6467000.0;;;;0.0
1289308.0;352767000.0;;;-15205000.0;;;;;;611777000.0;135386000.0;2214488000.0;1190056000.0;47686000.0;3.08;;0.0
1289340.0;32646894.0;;10543741.0;0.0;;494703.0;;;;27236366.0;37674524.0;19226914.0;36852568.0;320301.0;-0.35;;1.0
1289419.0;;;107100000.0;;;;;20100000.0;;;;1029000000.0;388400000.0;42400000.0;3.0;;0.0
1289460.0;;;92336000.0;4696000.0;;;;;;;;1032706000.0;355524000.0;;1.38;;1.0
1289490.0;;0.04;67758000.0;1542000.0;;;1542000.0;;;;;6071407000.0;3698803000.0;;1.58;;0.0
1289496.0;;;;;;;;;;3390682.0;5255182.0;3701534.0;3227101.0;;0.0;;0.0
1289636.0;13680241.0;;12264442.0;;;;73981.0;;;13640320.0;;47267840.0;2482712.0;-989484.0;0.0;;0.0
1289790.0;;;;;;10684000.0;;649367000.0;;;1639250000.0;7378828000.0;4176386000.0;215243000.0;-1.39;;1.0
1289848.0;176890000.0;;;0.0;;;;5830000.0;61895000.0;;769023000.0;1164160000.0;;12300000.0;2.67;;1.0
1289850.0;16625270.0;0.0;5497513.0;;;;;;;3349084.0;7299830.0;16034490.0;3471782.0;222592.0;;;0.0
1289945.0;;;42159000.0;;;;;418000.0;;;;390422000.0;56869000.0;8570000.0;3.99;;0.0
1290149.0;35828000.0;0.0;9472000.0;18000.0;;;18000.0;;;;;152768000.0;7397000.0;;;;0.0
1290476.0;;;;;37919000.0;;;;;;;419941000.0;389582000.0;;5.65;;0.0
1290658.0;51673.0;;;;;;;;-51673.0;;0.0;28855.0;20234.0;;;;0.0
1290900.0;;;;;;4041000.0;;;;110822000.0;825341000.0;436679000.0;370749000.0;16400000.0;0.24;;0.0
1292519.0;22398000.0;0.0;12340000.0;1068000.0;;;1068000.0;;;;;21792000.0;4863000.0;672000.0;;;0.0
